cue,target,strength
A,B,0.454
A,ALPHABET,0.066
A,THE,0.066
A,GRADE,0.059
A,LETTER,0.039
A,PLUS,0.033
A,AN,0.026
A,Z,0.02
A,AND,0.013
A,APPLE,0.013
A,GREAT,0.013
A,ONE,0.013
A,WORD,0.013
AARDVARK,ANIMAL,0.322
AARDVARK,ANT,0.197
AARDVARK,ANTEATER,0.059
AARDVARK,PINK PANTHER,0.026
AARDVARK,MUSIC,0.02
AARDVARK,NOSE,0.02
AARDVARK,UGLY,0.02
AARDVARK,CONFUSED,0.013
AARDVARK,DICTIONARY,0.013
AARDVARK,FUR,0.013
AARDVARK,ROAD KILL,0.013
AARDVARK,SHELL,0.013
AARDVARK,ZOO,0.013
ABDOMEN,STOMACH,0.566
ABDOMEN,BODY,0.072
ABDOMEN,MUSCLE,0.046
ABDOMEN,SIT UPS,0.026
ABDOMEN,ORGAN,0.02
ABDOMEN,PAIN,0.02
ABDOMEN,BELLY,0.013
ABDOMEN,CRAMP,0.013
ABDOMEN,CRUNCHES,0.013
ABDOMEN,INTESTINE,0.013
ABDOMEN,SEX,0.013
ABDOMEN,SIX PACK,0.013
ABDUCT,KIDNAP,0.453
ABDUCT,TAKE,0.18
ABDUCT,STEAL,0.067
ABDUCT,ALIEN,0.047
ABDUCT,ADDUCT,0.04
ABDUCT,CHILD,0.02
ABDUCT,CAPTURE,0.013
ABDUCT,HARASS,0.013
ABDUCT,KIDNAPPER,0.013
ABDUCT,MISSING,0.013
ABDUCT,OPEN,0.013
ABILITY,CAPABILITY,0.119
ABILITY,ABLE,0.077
ABILITY,COMPETENCE,0.063
ABILITY,SKILL,0.056
ABILITY,STRENGTH,0.056
ABILITY,INABILITY,0.042
ABILITY,POWER,0.035
ABILITY,TALENT,0.035
ABILITY,DISABILITY,0.028
ABILITY,DO,0.021
ABILITY,POTENTIAL,0.021
ABILITY,ATHLETE,0.014
ABILITY,CAN,0.014
ABILITY,CAPACITY,0.014
ABILITY,KNOW HOW,0.014
ABILITY,KNOWLEDGE,0.014
