cue,target,strength
CAB,TAXI,0.386
CAB,YELLOW,0.134
CAB,DRIVER,0.11
CAB,CAR,0.087
CAB,NEW YORK,0.071
CAB,BUS,0.039
CAB,CITY,0.024
CAB,MONEY,0.024
CAB,RIDE,0.024
CABBAGE,LETTUCE,0.281
CABBAGE,VEGETABLE,0.137
CABBAGE,PATCH,0.115
CABBAGE,GREEN,0.079
CABBAGE,COLESLAW,0.043
CABBAGE,CORNBEEF,0.036
CABBAGE,LEAF,0.029
CABBAGE,RABBIT,0.029
CABBAGE,RED,0.029
CABBAGE,FOOD,0.022
CABBAGE,HEAD,0.022
CABBAGE,SALAD,0.022
CABBAGE,SOUP,0.014
CABBAGE,WHITE,0.014
CABBAGE,YUCK,0.014
CABIN,LOG,0.415
CABIN,HOUSE,0.17
CABIN,WOODS,0.143
CABIN,MOUNTAIN,0.034
CABIN,WOOD,0.027
CABIN,CAMP,0.02
CABIN,COTTAGE,0.02
CABIN,CRUISER,0.014
CABIN,SHIP,0.014
CABINET,KITCHEN,0.152
CABINET,DOOR,0.097
CABINET,SHELF,0.09
CABINET,WOOD,0.083
CABINET,DRAWER,0.069
CABINET,MAKER,0.062
CABINET,CUPBOARD,0.048
CABINET,DISHES,0.041
CABINET,STORAGE,0.041
CABINET,CLOSET,0.028
CABINET,FOOD,0.028
CABINET,COUNTER,0.021
CABINET,DESK,0.021
CABINET,FILE,0.021
CABINET,PLATE,0.021
CABINET,BOOK,0.014
CABLE,TELEVISION,0.689
CABLE,WIRE,0.088
CABLE,CAR,0.034
CABLE,CORD,0.034
CABLE,BOX,0.014
CABLE,HBO,0.014
CABLE,ROPE,0.014
CABLE,UNIT,0.014
CABOOSE,TRAIN,0.721
CABOOSE,END,0.085
CABOOSE,ENGINE,0.048
CABOOSE,CAR,0.018
CABOOSE,TAIL,0.018
CABOOSE,INDIAN,0.012
CABOOSE,LAST,0.012
CABOOSE,RED,0.012
CACTUS,PLANT,0.321
CACTUS,PRICKLY,0.193
CACTUS,DESERT,0.136
CACTUS,SHARP,0.057
CACTUS,SPINE,0.043
CACTUS,THORN,0.043
CACTUS,FLOWER,0.021
CACTUS,HOT,0.021
CACTUS,NEEDLE,0.021
CACTUS,OUCH,0.021
CACTUS,POINT,0.021
CACTUS,ARIZONA,0.014
CACTUS,CLUB,0.014
CACTUS,GREEN,0.014
CACTUS,JUICE,0.014
CAFE,COFFEE,0.324
CAFE,FOOD,0.162
CAFE,RESTAURANT,0.108
CAFE,DINER,0.041
