cue,target,strength
GAG,CHOKE,0.173
GAG,JOKE,0.173
GAG,GIFT,0.073
GAG,MOUTH,0.033
GAG,THROW-UP,0.033
GAG,FUNNY,0.027
GAG,PUKE,0.027
GAG,BARF,0.02
GAG,LAUGH,0.02
GAG,PRANK,0.02
GAG,VOMIT,0.02
GAG,GROSS,0.013
GAG,KILL,0.013
GAG,SILENCE,0.013
GAG,SPOON,0.013
GAG,STOP,0.013
GAG,TIE,0.013
GAIN,LOSE,0.378
GAIN,WEIGHT,0.26
GAIN,FAT,0.039
GAIN,LOSS,0.039
GAIN,MORE,0.039
GAIN,ADD,0.031
GAIN,GET,0.024
GAIN,ACHIEVE,0.016
GAIN,ACQUIRE,0.016
GAIN,PROFIT,0.016
GAL,GIRL,0.329
GAL,GUY,0.27
GAL,WOMAN,0.053
GAL,CHICK,0.039
GAL,GALLON,0.026
GAL,PAL,0.026
GAL,BOY,0.02
GAL,COUNTRY,0.013
GAL,LADY,0.013
GAL,NERVE,0.013
GAL,PERSON,0.013
GAL,SEAGULL,0.013
GALAXY,STARS,0.413
GALAXY,UNIVERSE,0.14
GALAXY,SPACE,0.107
GALAXY,PLANETS,0.073
GALAXY,MILKY WAY,0.06
GALAXY,INFINITY,0.027
GALAXY,FAR,0.02
GALAXY,IMMENSE,0.02
GALAXY,SOLAR SYSTEM,0.02
GALAXY,STAR WARS,0.02
GALAXY,MARS,0.013
GALAXY,SCIENCE,0.013
GALLON,MILK,0.297
GALLON,JUG,0.13
GALLON,WATER,0.109
GALLON,GAS,0.094
GALLON,QUART,0.08
GALLON,PINT,0.065
GALLON,LITER,0.029
GALLON,WINE,0.022
GALLON,HALF,0.014
GALLON,LIQUID,0.014
GALLON,MEASURE,0.014
GALLON,TANK,0.014
GALLON,TON,0.014
GALLOP,HORSE,0.662
GALLOP,TROT,0.144
GALLOP,RUN,0.065
GALLOP,POLL,0.029
GALLOP,RIDE,0.022
GALLOP,HOP,0.014
GALOSHES,RAIN,0.307
GALOSHES,BOOTS,0.244
GALOSHES,WET,0.102
GALOSHES,SHOE,0.087
GALOSHES,SNOW,0.071
GALOSHES,RUBBER,0.063
GALOSHES,MUD,0.024
GAMBLE,LOSE,0.205
GAMBLE,MONEY,0.192
GAMBLE,BET,0.16
GAMBLE,WIN,0.077
GAMBLE,DICE,0.071
GAMBLE,RISK,0.045
GAMBLE,CASINO,0.038
GAMBLE,VEGAS,0.038
GAMBLE,CHANCE,0.032
GAMBLE,CARDS,0.026
GAMBLE,WASTE,0.019
GAMBLE,POKER,0.013
GAME,PLAY,0.25
GAME,FUN,0.142
GAME,MONOPOLY,0.115
GAME,FOOTBALL,0.047
GAME,ROOM,0.041
GAME,BOARD,0.034
GAME,BASEBALL,0.027
GAME,RACQUETBALL,0.027
GAME,SHOW,0.027
GAME,WIN,0.027
GAME,CARD,0.02
GAME,LIFE,0.02
GAME,TENNIS,0.02
GAMES,FUN,0.27
GAMES,PLAY,0.164
GAMES,MONOPOLY,0.092
GAMES,VIDEO,0.066
GAMES,BOARD,0.033
GAMES,NINTENDO,0.033
GAMES,TOYS,0.033
GAMES,FOOTBALL,0.026
GAMES,WAR,0.026
GAMES,COMPUTER,0.013
GAMES,PEOPLE,0.013
GAMES,SEX,0.013
GAMES,SPORTS,0.013
GANDER,GOOSE,0.46
GANDER,LOOK,0.173
GANDER,GUESS,0.036
GANDER,GAZE,0.022
GANDER,WANDER,0.022
GANDER,BIRD,0.014
GANDER,THINK,0.014
GANDER,WALK,0.014
GANDER,WONDER,0.014
GANG,GROUP,0.182
GANG,VIOLENT,0.098
GANG,FIGHT,0.091
GANG,WAR,0.076
GANG,RAPE,0.045
GANG,BANG,0.03
GANG,FRIEND,0.03
GANG,GUN,0.03
GANG,PEOPLE,0.03
GANG,LOS ANGELES,0.023
GANG,MEMBER,0.023
GANG,STREET,0.023
GANG,CHAIN,0.015
GANG,GUYS,0.015
GANG,KNIFE,0.015
GANG,MOB,0.015
GANG,STUPID,0.015
GANG,TROUBLE,0.015
GANGSTER,MOB,0.434
GANGSTER,GUN,0.112
GANGSTER,CAPONE,0.053
GANGSTER,HOOD,0.033
GANGSTER,MAFIA,0.033
GANGSTER,BAD,0.026
GANGSTER,MOVIE,0.02
GANGSTER,VIOLENCE,0.02
GANGSTER,CRIMINAL,0.013
GANGSTER,DANGER,0.013
GANGSTER,GANG,0.013
GANGSTER,ITALIAN,0.013
GARAGE,CAR,0.519
GARAGE,DOOR,0.123
GARAGE,HOUSE,0.052
GARAGE,SALE,0.039
GARAGE,STORAGE,0.032
GARAGE,DIRTY,0.026
GARAGE,OPENER,0.026
GARAGE,CARPORT,0.019
GARAGE,MAN,0.019
GARAGE,EMPTY,0.013
GARAGE,SMELL,0.013
GARAGE,STINK,0.013
GARBAGE,TRASH,0.456
GARBAGE,CAN,0.128
GARBAGE,BAG,0.077
GARBAGE,TRUCK,0.051
GARBAGE,SMELL,0.036
GARBAGE,DIRTY,0.031
GARBAGE,JUNK,0.031
