cue,target,strength
LAB,EXPERIMENT,0.145
LAB,CHEMISTRY,0.138
LAB,WORK,0.13
LAB,COAT,0.051
LAB,TECHNICIAN,0.051
LAB,TEST,0.036
LAB,MICE,0.029
LAB,SCIENCE,0.029
LAB,STUDY,0.029
LAB,TEST TUBE,0.029
LAB,BIOLOGY,0.022
LAB,RESEARCH,0.022
LAB,SCIENTIST,0.022
LAB,ANIMALS,0.014
LAB,CHEMICAL,0.014
LAB,PHYSICS,0.014
LAB,PSYCHOLOGY,0.014
LAB,REPORT,0.014
LAB,ROOM,0.014
LABEL,TAG,0.121
LABEL,NAME,0.094
LABEL,STICKER,0.081
LABEL,STEREOTYPE,0.06
LABEL,CAN,0.04
LABEL,SIGN,0.034
LABEL,PRICE,0.027
LABEL,READ,0.027
LABEL,CLOTHES,0.02
LABEL,IDENTIFY,0.02
LABEL,MARK,0.02
LABEL,TITLE,0.02
LABEL,WRITING,0.02
LABEL,ADHESIVE,0.013
LABEL,BOTTLE,0.013
LABEL,DESCRIBE,0.013
LABEL,DESIGNER,0.013
LABEL,GUESS,0.013
LABEL,HEADING,0.013
LABEL,INFORMATION,0.013
LABEL,JAR,0.013
LABEL,PAPER,0.013
LABEL,PRESCRIPTION,0.013
LABOR,WORK,0.69
LABOR,DAY,0.048
LABOR,UNION,0.048
LABOR,HARD,0.034
LABOR,PAIN,0.028
LABOR,BIRTH,0.021
LABOR,CONSTRUCTION,0.014
LABOR,LAW,0.014
LABOR,PREGNANT,0.014
LABOR,SLAVE,0.014
LABYRINTH,MAZE,0.465
LABYRINTH,DAVID BOWIE,0.051
LABYRINTH,MOVIE,0.04
LABYRINTH,PUZZLE,0.04
LABYRINTH,GAME,0.02
LABYRINTH,CAVE,0.015
LABYRINTH,CONFUSION,0.015
LABYRINTH,CASTLE,0.01
LABYRINTH,MAGIC,0.01
LACE,SHOELACE,0.103
LACE,DRESS,0.083
LACE,FRILL,0.058
LACE,PRETTY,0.058
LACE,WHITE,0.045
LACE,GOWN,0.038
LACE,CLOTHES,0.032
LACE,CURTAIN,0.032
LACE,SILK,0.032
LACE,TRIM,0.032
LACE,FEMININE,0.026
LACE,DAINTY,0.019
LACE,DELICATE,0.019
LACE,DOILIES,0.019
LACE,FANCY,0.019
LACE,FINE,0.019
LACE,MATERIAL,0.019
LACE,NIGHTGOWN,0.019
LACE,RIBBON,0.019
LACE,SATIN,0.019
LACE,SLIP,0.019
LACE,CHANTILLY,0.013
LACE,PANTY,0.013
LACE,TIE,0.013
LACK,NEED,0.117
LACK,WITHOUT,0.094
LACK,MISS,0.089
LACK,LESS,0.044
LACK,DON'T HAVE,0.033
LACK,NONE,0.028
LACK,WANT,0.028
LACK,EMPTY,0.022
LACK,LITTLE,0.022
LACK,LOSS,0.022
LACK,LUSTER,0.022
LACK,DEFICIENT,0.017
LACK,FAIL,0.017
LACK,MINUS,0.017
LACK,MONEY,0.017
LACK,OF,0.017
LACK,ABILITY,0.011
LACK,CONFIDENCE,0.011
LACK,DESIRE,0.011
LACK,HAVE,0.011
LACK,INTEREST,0.011
LACK,KNOWLEDGE,0.011
LACK,LOST,0.011
LACK,LOT,0.011
LACK,LUCK,0.011
LACK,POOR,0.011
LACK,SHORT,0.011
LADDER,CLIMB,0.338
LADDER,UP,0.103
LADDER,STEP,0.09
LADDER,RUNG,0.055
LADDER,FALL,0.048
LADDER,ROOF,0.041
LADDER,STAIR,0.041
LADDER,PAINT,0.034
LADDER,TALL,0.034
LADDER,HIGH,0.028
LADDER,LUCK,0.021
LADDER,HOUSE,0.014
LADDER,PAINTER,0.014
LADDER,WOOD,0.014
LADY,MAN,0.371
LADY,WOMAN,0.244
LADY,GENTLEMAN,0.086
LADY,TRAMP,0.046
LADY,GIRL,0.036
LADY,DOG,0.015
LADY,DRESS,0.015
LADY,FEMALE,0.015
LADY,PRETTY,0.015
LADY,BEAUTIFUL,0.01
LADY,BUG,0.01
LADY,CLASSY,0.01
LADY,OLD,0.01
LADY,RED,0.01
LADY,SEX,0.01
LAGOON,WATER,0.26
LAGOON,BLUE,0.233
LAGOON,LAKE,0.133
LAGOON,SWAMP,0.053
LAGOON,POND,0.047
LAGOON,ISLAND,0.033
LAGOON,BLACK,0.02
LAGOON,INLET,0.02
LAGOON,MONSTER,0.02
LAGOON,CREATURE,0.013
LAGOON,GILLIGAN,0.013
LAGOON,LOVE,0.013
LAGOON,SWIM,0.013
LAKE,WATER,0.236
LAKE,RIVER,0.142
LAKE,SWIM,0.094
LAKE,POND,0.087
LAKE,FISH,0.055
LAKE,ERIE,0.047
LAKE,SKI,0.039
LAKE,BLUE,0.031
LAKE,FISHING,0.031
LAKE,OCEAN,0.024
LAKE,CLEAR,0.016
LAKE,FOREST,0.016
LAKE,FRONT,0.016
LAKE,SEA,0.016
LAKE,STREAM,0.016
LAMB,SHEEP,0.333
LAMB,WOOL,0.095
LAMB,CHOP,0.087
LAMB,GOAT,0.063
LAMB,SOFT,0.04
LAMB,EWE,0.024
LAMB,GOD,0.024
LAMB,MUTTON,0.024
LAMB,WHITE,0.024
LAMB,ANIMAL,0.016
LAMB,CALF,0.016
LAMB,MARY,0.016
LAMB,TIGER,0.016
LAMB,WOLF,0.016
LAMP,LIGHT,0.769
LAMP,SHADE,0.058
LAMP,BULB,0.045
LAMP,POST,0.026
LAMP,DESK,0.019
LAMP,TABLE,0.019
LAMP,BURN,0.013
LAND,SEA,0.182
LAND,WATER,0.128
LAND,COUNTRY,0.041
LAND,PROPERTY,0.041
LAND,GRASS,0.027
LAND,GROUND,0.027
LAND,SOIL,0.027
LAND,TREE,0.027
LAND,ACRE,0.02
LAND,EARTH,0.02
LAND,FIELD,0.02
LAND,GREEN,0.02
LAND,HILL,0.02
LAND,MARK,0.02
LAND,MINE,0.02
LAND,MOUNTAIN,0.02
LAND,OWNER,0.02
LAND,AIR,0.014
LAND,HOUSE,0.014
LAND,ISLAND,0.014
LAND,MASS,0.014
LAND,OCEAN,0.014
LAND,REAL ESTATE,0.014
LAND,SHORE,0.014
LAND,VAST,0.014
LANDSCAPE,TREES,0.199
LANDSCAPE,GRASS,0.139
LANDSCAPE,SCENERY,0.079
LANDSCAPE,GREEN,0.073
LANDSCAPE,FLOWERS,0.066
LANDSCAPE,YARD,0.06
LANDSCAPE,BEAUTIFUL,0.04
LANDSCAPE,LAWN,0.04
LANDSCAPE,PLANTS,0.026
LANDSCAPE,ARCHITECT,0.02
LANDSCAPE,LAND,0.02
LANDSCAPE,ART,0.013
LANDSCAPE,BUSHES,0.013
LANDSCAPE,GARDEN,0.013
LANDSCAPE,GROUND,0.013
LANDSCAPE,HOUSE,0.013
LANDSCAPE,MOUNTAIN,0.013
LANDSCAPE,PRETTY,0.013
LANDSCAPE,SHRUBS,0.013
LANDSCAPE,SOD,0.013
LANE,STREET,0.176
LANE,ROAD,0.135
LANE,DRIVE,0.088
LANE,CAR,0.061
LANE,BOWLING,0.054
LANE,HIGHWAY,0.047
LANE,FAST,0.034
LANE,ALLEY,0.027
LANE,LINE,0.02
LANE,LOVERS,0.02
LANE,TRAFFIC,0.02
LANE,AISLE,0.014
LANE,LOIS,0.014
LANE,PASSING,0.014
LANE,WRONG,0.014
LANGUAGE,ENGLISH,0.184
LANGUAGE,SPEECH,0.177
LANGUAGE,SPEAK,0.143
LANGUAGE,SPANISH,0.075
LANGUAGE,COMMUNICATION,0.068
LANGUAGE,TALK,0.041
LANGUAGE,FOREIGN,0.034
LANGUAGE,FRENCH,0.034
LANGUAGE,WORDS,0.034
LANGUAGE,DISORDER,0.027
LANGUAGE,CULTURE,0.014
LANGUAGE,ITALIAN,0.014
LANGUAGE,LINGUISTICS,0.014
LAP,SIT,0.176
LAP,LEGS,0.142
LAP,TOP,0.128
LAP,DOG,0.074
LAP,BABY,0.034
LAP,DESK,0.034
LAP,SEAT,0.034
LAP,DRINK,0.027
LAP,SWIM,0.027
LAP,CAT,0.02
LAP,DANCE,0.02
LAP,BELT,0.014
LAP,CHILD,0.014
LAP,RUN,0.014
LAPEL,COLLAR,0.149
LAPEL,SUIT,0.115
LAPEL,SHIRT,0.108
LAPEL,COAT,0.068
LAPEL,PIN,0.068
LAPEL,JACKET,0.061
LAPEL,FLOWER,0.02
LAPEL,CHAPEL,0.014
LAPEL,CLOTHING,0.014
LAPEL,LIGHT,0.014
LARGE,SMALL,0.606
LARGE,BIG,0.189
LARGE,GIANT,0.039
LARGE,ELEPHANT,0.024
LARGE,FAT,0.024
LARGE,HUGE,0.024
LASER,BEAM,0.363
LASER,LIGHT,0.158
LASER,DISK,0.062
LASER,GUN,0.048
LASER,LIGHTS,0.027
LASER,PRINTER,0.027
LASER,JET,0.021
LASER,SHOW,0.021
LASER,RAY,0.014
LASER,RED,0.014
LASER,STAR WARS,0.014
LASER,TAG,0.014
LASER,TECHNOLOGY,0.014
LASH,EYE,0.196
LASH,WHIP,0.188
LASH,HIT,0.101
LASH,OUT,0.065
LASH,BEAT,0.036
LASH,STRIKE,0.036
LASH,HURT,0.029
LASH,PAIN,0.029
LASH,CUT,0.022
LASH,ATTACK,0.014
LASH,HARSH,0.014
LASH,MASCARA,0.014
LASH,MEAN,0.014
LASH,SCAR,0.014
LAST,FIRST,0.575
LAST,END,0.071
LAST,FINAL,0.063
LAST,LONG,0.055
LAST,FINISH,0.039
LAST,FOREVER,0.039
LAST,CHANCE,0.016
LAST,LEAST,0.016
LASTING,LONG,0.259
LASTING,FOREVER,0.224
LASTING,RELATIONSHIP,0.082
LASTING,LOVE,0.041
LASTING,FRIENDSHIP,0.027
LASTING,END,0.02
LASTING,ENDURING,0.02
LASTING,ETERNAL,0.02
LASTING,GUM,0.02
LASTING,IMPRESSION,0.02
LASTING,MARRIAGE,0.02
LASTING,AWHILE,0.014
LASTING,DURABLE,0.014
LASTING,EVER,0.014
LASTING,MEMORIES,0.014
LASTING,TIME,0.014
LATCH,KEY,0.386
LATCH,LOCK,0.147
LATCH,DOOR,0.136
LATCH,HOOK,0.092
LATCH,CLOSE,0.033
LATCH,ON,0.033
LATCH,CATCH,0.011
LATCH,GATE,0.011
LATCH,HOLD,0.011
LATCH,LOOSE,0.011
LATCH,OPEN,0.011
LATCH,UNLOCK,0.011
LATE,EARLY,0.473
LATE,NIGHT,0.162
LATE,TARDY,0.088
LATE,DATE,0.02
LATE,CLASS,0.014
LATE,CLOCK,0.014
LATE,EVENING,0.014
LATE,MIDNIGHT,0.014
LATE,PARTY,0.014
LATE,SHOW,0.014
LATE,TIME,0.014
LATHER,SOAP,0.673
LATHER,RINSE,0.061
LATHER,SUDS,0.061
LATHER,SHAVE,0.048
LATHER,FOAM,0.034
LATHER,BATHE,0.02
LATIN,LANGUAGE,0.23
LATIN,SPANISH,0.223
LATIN,AMERICAN,0.054
LATIN,FRENCH,0.054
LATIN,GREEK,0.054
LATIN,AMERICA,0.034
LATIN,HISPANIC,0.027
LATIN,ENGLISH,0.02
LATIN,LOVER,0.02
LATIN,MEDICINE,0.02
LATIN,CULTURE,0.014
LATIN,FOREIGN,0.014
LATIN,HARD,0.014
LATIN,MAN,0.014
LATIN,ME,0.014
LATIN,MUSIC,0.014
LATIN,ROOT,0.014
LATIN,WORDS,0.014
LAUGH,CRY,0.479
