cue,target,strength
PACK,BACK,0.176
PACK,SUITCASE,0.095
PACK,BAG,0.061
PACK,LEAVE,0.054
PACK,TRIP,0.047
PACK,SIX,0.041
PACK,STUFF,0.034
PACK,LUGGAGE,0.027
PACK,LUNCH,0.027
PACK,RAT,0.027
PACK,STACK,0.027
PACK,BOX,0.02
PACK,CLOTHES,0.02
PACK,MOVE,0.02
PACK,SAVE,0.02
PACK,UP,0.02
PACK,VACATION,0.02
PACK,CARRY,0.014
PACK,GATHER,0.014
PACK,SODA,0.014
PACK,STORE,0.014
PACK,TRAVEL,0.014
PACK,UNPACK,0.014
PACKAGE,BOX,0.19
PACKAGE,PRESENT,0.141
PACKAGE,GIFT,0.092
PACKAGE,MAIL,0.07
PACKAGE,UPS,0.042
PACKAGE,WRAP,0.042
PACKAGE,DELIVER,0.035
PACKAGE,SEND,0.035
PACKAGE,CHRISTMAS,0.028
PACKAGE,PARCEL,0.028
PACKAGE,BROWN,0.021
PACKAGE,BIG,0.014
PACKAGE,BOMB,0.014
PACKAGE,DEAL,0.014
PACKAGE,ENVELOPE,0.014
PACKAGE,OPEN,0.014
PACKAGE,PAPER,0.014
PACKAGE,SHIP,0.014
PACKAGE,STORE,0.014
PAD,PAPER,0.345
PAD,PEN,0.122
PAD,PENCIL,0.095
PAD,WRITE,0.061
PAD,CUSHION,0.047
PAD,NOTEBOOK,0.047
PAD,APARTMENT,0.034
PAD,SOFT,0.027
PAD,MATTRESS,0.02
PAD,PERIOD,0.02
PAD,COVER,0.014
PAD,HOUSE,0.014
PAD,SEAT,0.014
PADDING,BRA,0.163
PADDING,CUSHION,0.157
PADDING,SOFT,0.105
PADDING,BED,0.059
PADDING,CARPET,0.039
PADDING,FOOTBALL,0.026
PADDING,PILLOW,0.026
PADDING,PROTECTION,0.026
PADDING,SEAT,0.026
PADDING,SHOULDER,0.026
PADDING,FOAM,0.02
PADDING,STUFFING,0.02
PADDING,CELL,0.013
PADDING,COMFORT,0.013
PADDING,DIAPER,0.013
PADDING,SHIRT,0.013
PADDLE,BOAT,0.297
PADDLE,OAR,0.108
PADDLE,CANOE,0.088
PADDLE,SPANK,0.068
PADDLE,HIT,0.061
PADDLE,ROW,0.061
PADDLE,BALL,0.02
PADDLE,HURT,0.02
PADDLE,PUNISHMENT,0.02
PADDLE,CHILDHOOD,0.014
PADDLE,SMACK,0.014
PADDLE,STROKE,0.014
PADDLE,SWIM,0.014
PADDLE,WHIP,0.014
PADDY,WAGON,0.23
PADDY,CAKE,0.105
PADDY,HAMBURGER,0.066
PADDY,CUSHION,0.039
PADDY,RICE,0.039
PADDY,SOFT,0.039
PADDY,COW,0.033
PADDY,DADDY,0.033
PADDY,MEAT,0.026
PADDY,BOAT,0.02
PADDY,IRISH,0.02
PADDY,MURPHY,0.02
PADDY,BEAR,0.013
PADDY,COMFORTABLE,0.013
PADDY,PAD,0.013
PADDY,PERSON,0.013
PADDY,WADDLE,0.013
PAGE,BOOK,0.452
PAGE,PAPER,0.137
PAGE,TURN,0.075
PAGE,NUMBER,0.062
PAGE,CALL,0.041
PAGE,WHITE,0.027
PAGE,READ,0.021
PAGE,CHAPTER,0.014
PAGE,ONE,0.014
PAGE,WORD,0.014
PAIL,BUCKET,0.5
