cue,target,strength
SABER,SWORD,0.333
SABER,TOOTH,0.192
SABER,KNIFE,0.077
SABER,SAW,0.064
SABER,TIGER,0.058
SABER,SHARP,0.026
SABER,CAT,0.013
SABER,FENCE,0.013
SACK,BAG,0.444
SACK,POTATO,0.237
SACK,BED,0.035
SACK,FLOUR,0.035
SACK,POUCH,0.025
SACK,CLOTH,0.01
SACK,GROCERIES,0.01
SACK,HIT,0.01
SACK,NAP,0.01
SACRED,HOLY,0.152
SACRED,RELIGION,0.068
SACRED,FRIGHTENED,0.053
SACRED,CHURCH,0.038
SACRED,HEART,0.038
SACRED,SPECIAL,0.038
SACRED,CROSS,0.03
SACRED,IMPORTANT,0.03
SACRED,GOD,0.023
SACRED,LOVE,0.023
SACRED,PRECIOUS,0.023
SACRED,SECRET,0.023
SACRED,CHERISHED,0.015
SACRED,CHILD,0.015
SACRED,DARK,0.015
SACRED,MARRIAGE,0.015
SACRED,NIGHT,0.015
SACRED,PERSONAL,0.015
SACRED,SACRILEGIOUS,0.015
SACRED,TEMPLE,0.015
SACRED,TRUTH,0.015
SAD,HAPPY,0.634
SAD,GLAD,0.064
SAD,CRY,0.058
SAD,UNHAPPY,0.051
SAD,DEPRESSED,0.045
SAD,BLUE,0.026
SAD,TEAR,0.026
SADDLE,HORSE,0.879
SADDLE,RIDE,0.02
SADDLE,BAG,0.013
SADDLE,SORE,0.013
SAFARI,JUNGLE,0.229
SAFARI,AFRICA,0.203
SAFARI,LION,0.078
SAFARI,ANIMAL,0.072
SAFARI,DESERT,0.052
SAFARI,HUNT,0.046
SAFARI,GIRAFFE,0.033
SAFARI,ADVENTURE,0.026
SAFARI,ELEPHANT,0.026
SAFARI,JEEP,0.026
SAFARI,TRIP,0.02
SAFARI,EXPEDITION,0.013
SAFARI,HAT,0.013
SAFARI,SURFING,0.013
SAFARI,TIGER,0.013
SAFE,SECURE,0.149
SAFE,DANGER,0.142
SAFE,MONEY,0.099
SAFE,HOME,0.085
SAFE,LOCK,0.043
SAFE,SOUND,0.035
SAFE,TEAM,0.028
SAFE,BANK,0.021
SAFE,PROTECT,0.021
SAFE,SCARED,0.021
SAFE,UNSAFE,0.021
SAFE,VAULT,0.021
SAFE,BASEBALL,0.014
SAFE,COMFORT,0.014
SAFE,GUARD,0.014
SAFE,HAPPY,0.014
SAFE,MOM,0.014
SAFE,OKAY,0.014
SAFE,OUT,0.014
SAFE,SORRY,0.014
SAFE,SURE,0.014
SAFETY,SEATBELT,0.257
SAFETY,DANGER,0.071
SAFETY,CAREFUL,0.064
SAFETY,CAUTION,0.064
SAFETY,GOGGLES,0.043
SAFETY,PROTECTION,0.043
SAFETY,PIN,0.036
SAFETY,DRIVE,0.029
SAFETY,NET,0.029
SAFETY,PRECAUTION,0.029
SAFETY,RULES,0.029
SAFETY,SECURE,0.029
SAFETY,FEATURE,0.021
SAFETY,HOME,0.021
SAFETY,PATROL,0.021
SAFETY,POLICE,0.021
SAFETY,SECURITY,0.021
SAFETY,COMFORT,0.014
SAFETY,FEAR,0.014
SAGE,SPICE,0.204
SAGE,WISE,0.095
SAGE,HERB,0.068
SAGE,BRUSH,0.034
SAGE,BUSH,0.027
SAGE,PARSLEY,0.027
SAGE,OREGANO,0.02
SAGE,SMART,0.02
SAGE,BASIL,0.014
SAGE,DOG,0.014
SAGE,FLOWER,0.014
SAGE,RAGE,0.014
SAGE,ROSEMARY,0.014
SAGE,SEASONING,0.014
SAIL,BOAT,0.589
SAIL,WIND,0.079
SAIL,WATER,0.073
SAIL,OCEAN,0.053
SAIL,FUN,0.026
SAIL,FISH,0.02
SAIL,LAKE,0.013
SAILING,BOAT,0.359
SAILING,WATER,0.148
SAILING,OCEAN,0.099
SAILING,WIND,0.092
SAILING,SHIP,0.077
SAILING,RELAX,0.021
SAILING,SAIL,0.021
SAILING,SEA,0.021
SAILING,SWIM,0.021
SAILING,FISHING,0.014
SAILING,YACHT,0.014
SAILOR,SHIP,0.222
SAILOR,NAVY,0.189
SAILOR,BOAT,0.169
SAILOR,SEA,0.077
SAILOR,MAN,0.046
SAILOR,HAT,0.036
SAILOR,CAPTAIN,0.031
SAILOR,ANCHOR,0.015
SAILOR,MARINE,0.015
SAILOR,SUIT,0.015
SAILOR,BAY,0.01
SAILOR,CAP,0.01
SAILOR,SOLDIER,0.01
SAILOR,WHITE,0.01
SAINT,ANGEL,0.091
SAINT,CHURCH,0.079
SAINT,GOD,0.073
SAINT,HOLY,0.067
SAINT,CATHOLIC,0.061
SAINT,GOOD,0.061
SAINT,CHRISTOPHER,0.048
SAINT,HEAVEN,0.048
