cue,target,strength
TAB,SODA,0.155
TAB,BILL,0.149
TAB,COKE,0.095
TAB,DRINK,0.054
TAB,CAN,0.047
TAB,COLA,0.041
TAB,BAR,0.034
TAB,MONEY,0.034
TAB,PULL,0.02
TAB,TYPEWRITER,0.02
TAB,BEER,0.014
TAB,BOOK,0.014
TAB,CHECK,0.014
TAB,POP,0.014
TAB,TOTAL,0.014
TAB,WATER,0.014
TABLE,CHAIR,0.756
TABLE,CLOTH,0.026
TABLE,EAT,0.026
TABLE,DESK,0.019
TABLE,DINNER,0.019
TABLE,TOP,0.019
TABLE,LEGS,0.013
TABLE,SETTING,0.013
TABLE,SIT,0.013
TABLE,TENNIS,0.013
TABLET,PILL,0.219
TABLET,ASPIRIN,0.159
TABLET,PAPER,0.132
TABLET,MEDICINE,0.06
TABLET,COMMANDMENTS,0.046
TABLET,STONE,0.026
TABLET,TYLENOL,0.026
TABLET,CAPSULE,0.02
TABLET,PAD,0.02
TABLET,VITAMIN,0.02
TABLET,WATER,0.02
TABLET,CHAIR,0.013
TABLET,GLASS,0.013
TABLET,NOTES,0.013
TABLET,PEN,0.013
TABLET,SICK,0.013
TABLET,WRITE,0.013
TABOO,BAD,0.102
TABOO,FORBIDDEN,0.061
TABOO,NO,0.061
TABOO,VOODOO,0.061
TABOO,EVIL,0.056
TABOO,WRONG,0.036
TABOO,WITCH,0.03
TABOO,SUPERSTITION,0.025
TABOO,INCEST,0.02
TABOO,MYTH,0.02
TABOO,CURSE,0.015
TABOO,SEX,0.015
TABOO,HEX,0.01
TABOO,IMMORAL,0.01
TABOO,INDIAN,0.01
TABOO,JINX,0.01
TABOO,NORM,0.01
TABOO,OLD,0.01
TABOO,RESTRICTION,0.01
TABOO,SACRED,0.01
TABOO,SIGN,0.01
TABOO,SPELL,0.01
TABOO,TATTOO,0.01
TABOO,WEIRD,0.01
TACK,NAIL,0.181
TACK,THUMB,0.165
TACK,SHARP,0.102
TACK,PIN,0.079
TACK,HORSE,0.047
TACK,HAMMER,0.039
TACK,BOARD,0.024
TACK,STAPLE,0.024
TACK,STICK,0.024
TACK,FOOT,0.016
TACK,PICTURE,0.016
TACK,SIT,0.016
TACKLE,FOOTBALL,0.361
TACKLE,FISHING,0.109
TACKLE,BAIT,0.095
TACKLE,FISH,0.095
TACKLE,BOX,0.068
TACKLE,ATTACK,0.041
TACKLE,FIGHT,0.02
TACKLE,BALL,0.014
TACKLE,DEFENSE,0.014
TACKLE,DOWN,0.014
TACKLE,GRAB,0.014
TACT,POLITE,0.097
TACT,TACTFUL,0.048
TACT,CLASS,0.028
TACT,COUTH,0.028
TACT,DIPLOMACY,0.028
TACT,MANNERS,0.028
TACT,NICE,0.028
TACT,CAREFUL,0.021
TACT,GOOD,0.021
TACT,FINESSE,0.014
TACT,GRACE,0.014
TACT,NEAT,0.014
TACT,REASON,0.014
TACT,SMART,0.014
TACT,TOUCH,0.014
TACTFUL,NICE,0.11
TACTFUL,MANNERS,0.045
TACTFUL,SKILLFUL,0.045
TACTFUL,CAREFUL,0.039
TACTFUL,POLITE,0.039
TACTFUL,TASTEFUL,0.039
TACTFUL,KIND,0.032
TACTFUL,RUDE,0.026
TACTFUL,SMART,0.026
TACTFUL,TACKY,0.026
TACTFUL,THOUGHTFUL,0.026
TACTFUL,BLUNT,0.019
TACTFUL,DIPLOMATIC,0.019
TACTFUL,GOOD,0.019
TACTFUL,CLASS,0.013
TACTFUL,GRACE,0.013
TACTFUL,PRECISE,0.013
TACTFUL,TASTELESS,0.013
TAG,GRAB,0.145
TAG,PRICE,0.086
TAG,CLOTHES,0.059
TAG,HIT,0.059
TAG,TOUCH,0.059
TAG,TEAM,0.046
TAG,CAR,0.039
TAG,LABEL,0.039
TAG,LICENSE,0.039
TAG,DUG,0.026
TAG,FOOTBALL,0.026
TAG,IT,0.026
TAG,STICKER,0.026
TAG,DOG,0.02
TAG,PLAY,0.02
TAG,CATCH,0.013
TAG,FAG,0.013
TAG,FREEZE,0.013
TAG,HANG,0.013
TAG,SALE,0.013
TAG,TICKET,0.013
TAIL,DOG,0.247
TAIL,END,0.137
TAIL,CAT,0.11
TAIL,HEAD,0.089
TAIL,WAG,0.048
TAIL,ANIMAL,0.034
TAIL,COAT,0.027
TAIL,TUXEDO,0.027
TAIL,BUTT,0.021
TAIL,RAT,0.021
TAIL,BONE,0.014
TAIL,BUNNY,0.014
TAIL,DONKEY,0.014
TAIL,GATE,0.014
TAIL,LONG,0.014
TAIL,MOUSE,0.014
TAIL,REAR,0.014
TAKE,GIVE,0.412
TAKE,STEAL,0.129
TAKE,RECEIVE,0.05
TAKE,GET,0.047
TAKE,AWAY,0.039
TAKE,GRAB,0.039
TAKE,HAVE,0.022
TAKE,HOME,0.017
TAKE,OBTAIN,0.017
TAKE,LEAVE,0.011
TAKE,SELFISH,0.011
TALE,STORY,0.589
TALE,FAIRY,0.067
TALE,TALL,0.039
TALE,SPEAK,0.033
TALE,LIE,0.028
TALE,BOOK,0.017
TALE,TAIL,0.017
TALE,TELL,0.017
TALE,DOG,0.011
TALE,END,0.011
TALE,FABLE,0.011
TALE,FRONT,0.011
TALE,MOUTH,0.011
TALE,SAY,0.011
TALENT,SHOW,0.145
TALENT,GIFT,0.097
TALENT,SKILL,0.09
TALENT,DANCE,0.069
TALENT,SING,0.055
TALENT,ABILITY,0.048
TALENT,MUSIC,0.048
TALENT,SPECIAL,0.041
TALENT,ACT,0.028
TALENT,ACTOR,0.028
TALENT,ART,0.028
TALENT,DANCER,0.028
TALENT,SCOUT,0.028
TALENT,SINGER,0.021
TALENT,ARTIST,0.014
TALENT,PIANO,0.014
TALK,SPEAK,0.206
TALK,LISTEN,0.103
TALK,CHATTER,0.056
TALK,COMMUNICATE,0.048
TALK,CONVERSE,0.04
TALK,SING,0.04
TALK,CHAT,0.032
TALK,WHISPER,0.032
TALK,CONVERSATION,0.024
TALK,LOUD,0.024
TALK,PHONE,0.024
TALK,SPEECH,0.024
TALK,DISCUSS,0.016
TALK,FAST,0.016
TALK,GAB,0.016
TALK,SAY,0.016
TALK,WORDS,0.016
TALK,YELL,0.016
TALL,SHORT,0.696
TALL,SMALL,0.054
TALL,BIG,0.034
TALL,THIN,0.027
TALL,SKINNY,0.02
TALL,HEIGHT,0.014
TALL,LANKY,0.014
TALL,LEGS,0.014
TALL,MAN,0.014
TAME,WILD,0.4
TAME,CALM,0.107
TAME,LION,0.05
TAME,ANIMAL,0.043
TAME,DOG,0.036
TAME,SHREW,0.036
TAME,DOCILE,0.029
TAME,TIGER,0.029
TAME,HORSE,0.021
TAME,TRAIN,0.021
TAME,CONTROL,0.014
TAME,DOMESTIC,0.014
TAME,MEEK,0.014
TAMPA,FLORIDA,0.361
TAMPA,CITY,0.143
TAMPA,BAY,0.116
TAMPA,HOME,0.082
TAMPA,AIRPORT,0.027
TAMPA,BORING,0.02
TAMPA,HERE,0.02
TAMPA,BEACH,0.014
TAMPA,DIRTY,0.014
TAMPA,PALMS,0.014
TAMPA,SCHOOL,0.014
TAMPA,SUCKS,0.014
TAMPA,TAMPONS,0.014
TAMPA,USF,0.014
TAN,DARK,0.169
TAN,SUN,0.162
TAN,BROWN,0.142
TAN,PALE,0.088
TAN,WHITE,0.081
TAN,BRONZE,0.054
TAN,BEACH,0.047
TAN,BURN,0.027
TAN,COLOR,0.027
TAN,CANCER,0.02
TAN,GOLDEN,0.02
TAN,HOT,0.02
TAN,BEAUTIFUL,0.014
TANGENT,LINE,0.111
TANGENT,ANGLE,0.063
TANGENT,GEOMETRY,0.056
TANGENT,CIRCLE,0.048
TANGENT,ADJACENT,0.04
TANGENT,MATH,0.04
TANGENT,COSINE,0.032
TANGENT,TOUCH,0.032
TANGENT,ALGEBRA,0.016
TANGENT,ASIDE,0.016
TANGENT,COTANGENT,0.016
TANGENT,DEGREE,0.016
TANGENT,ITEM,0.016
TANGENT,NEXT,0.016
TANGENT,OPPOSITE,0.016
TANGENT,SINE,0.016
TANGENT,STRAIGHT,0.016
TANGENT,TRIGONOMETRY,0.016
TANGERINE,ORANGE,0.733
TANGERINE,FRUIT,0.107
TANGERINE,SWEET,0.027
TANGERINE,APPLE,0.02
TANGERINE,GOOD,0.02
TANGERINE,MOVIE,0.02
TANGERINE,SOUR,0.013
TANGY,TART,0.211
TANGY,ORANGE,0.145
TANGY,SWEET,0.125
TANGY,SOUR,0.099
TANGY,TASTE,0.059
TANGY,SPICY,0.046
TANGY,BITTER,0.039
TANGY,CANDY,0.039
TANGY,FRUIT,0.039
TANGY,DRINK,0.02
TANGY,FLAVOR,0.013
TANGY,TAFFY,0.013
TANGY,TANG,0.013
TANK,WAR,0.171
TANK,ARMY,0.163
TANK,FISH,0.118
TANK,GAS,0.094
TANK,WATER,0.055
TANK,GUN,0.047
TANK,FUEL,0.031
TANK,TOP,0.031
TANK,AQUARIUM,0.016
TANK,BATTLE,0.016
TANK,FULL,0.016
TANK,JEEP,0.016
TANK,MACHINE,0.016
TANK,SCUBA,0.016
TANTRUM,TEMPER,0.209
TANTRUM,FIT,0.194
TANTRUM,BABY,0.108
TANTRUM,CHILD,0.101
TANTRUM,ANGER,0.05
TANTRUM,KID,0.043
TANTRUM,CRY,0.036
TANTRUM,BRAT,0.022
TANTRUM,MAD,0.022
TANTRUM,THROW,0.022
TANTRUM,BAD,0.014
TANTRUM,SPOILED,0.014
TANTRUM,TODDLER,0.014
TAP,DANCE,0.206
TAP,WATER,0.154
TAP,HIT,0.078
TAP,KNOCK,0.078
TAP,BEER,0.072
TAP,TOUCH,0.039
TAP,NOISE,0.028
TAP,TIP,0.028
TAP,POUND,0.022
TAP,RAP,0.022
TAP,SHOES,0.022
TAP,SHOULDER,0.022
TAP,DRUM,0.017
TAP,FOOT,0.017
TAP,PENCIL,0.017
TAP,FAUCET,0.011
TAP,FINGERS,0.011
TAP,KEG,0.011
TAP,THUMP,0.011
TAPE,MUSIC,0.165
TAPE,RECORD,0.115
TAPE,RECORDER,0.108
TAPE,CASSETTE,0.094
TAPE,STICKY,0.072
TAPE,COMPACT DISC,0.05
TAPE,SCOTCH,0.05
TAPE,DECK,0.036
TAPE,PLAYER,0.036
TAPE,FIX,0.014
TAPE,GLUE,0.014
TAPE,LISTEN,0.014
TAPE,PAPER,0.014
TAPE,PRESENT,0.014
TAPE,RADIO,0.014
TAPE,RED,0.014
TAPE,SEAL,0.014
TAPE,WORM,0.014
TAPIOCA,PUDDING,0.831
TAPIOCA,DRINK,0.032
TAPIOCA,FOOD,0.013
TAR,ROAD,0.173
TAR,BLACK,0.153
TAR,FEATHER,0.112
TAR,ROOF,0.092
TAR,NICOTINE,0.071
TAR,STICKY,0.051
TAR,STREET,0.041
TAR,ASPHALT,0.031
TAR,HEEL,0.031
TAR,PAPER,0.031
TAR,PITCH,0.031
TAR,CIGARETTE,0.02
TAR,DRIVEWAY,0.02
TAR,GLUE,0.02
TAR,HOT,0.02
TAR,SMELL,0.02
TARDY,LATE,0.899
TARDY,EARLY,0.021
TARDY,SCHOOL,0.014
TARGET,BULL'S EYE,0.297
TARGET,STORE,0.182
TARGET,ARROW,0.128
TARGET,PRACTICE,0.061
TARGET,GUN,0.054
TARGET,DARTS,0.041
TARGET,SHOOT,0.034
TARGET,AIM,0.014
TARGET,ARCHERY,0.014
TARGET,HIT,0.014
TARGET,POINT,0.014
TARGET,RED,0.014
TARGET,ROUND,0.014
TARNISH,SILVER,0.317
TARNISH,OLD,0.094
TARNISH,STAIN,0.089
TARNISH,RUST,0.083
TARNISH,BRASS,0.05
TARNISH,DIRTY,0.039
TARNISH,COPPER,0.033
TARNISH,DULL,0.022
TARNISH,FADE,0.022
TARNISH,GOLD,0.017
TARNISH,POLISH,0.017
TARNISH,DARK,0.011
TARNISH,JEWELRY,0.011
TARNISH,UGLY,0.011
TARNISH,VARNISH,0.011
TARNISH,YELLOW,0.011
TART,SOUR,0.25
TART,SWEET,0.223
TART,POP,0.095
TART,BITTER,0.047
TART,TANGY,0.041
TART,CANDY,0.034
TART,FOOD,0.027
TART,LEMON,0.02
TART,PASTRY,0.02
TART,TASTE,0.02
TART,BREAKFAST,0.014
TART,COOKIE,0.014
TART,DANISH,0.014
TART,JAM,0.014
TART,SLUT,0.014
TART,TEA,0.014
TART,WHORE,0.014
TARZAN,JANE,0.437
TARZAN,JUNGLE,0.232
TARZAN,APE,0.119
TARZAN,MAN,0.04
TARZAN,MONKEY,0.04
TARZAN,CHEETAH,0.033
TARZAN,GORILLA,0.013
TARZAN,MOVIE,0.013
TARZAN,TELEVISION,0.013
TASK,JOB,0.37
TASK,WORK,0.212
TASK,CHORE,0.145
TASK,DUTY,0.055
TASK,FORCE,0.055
